title,company,company_link,company_logo,location,job_link,employment_details,employment_pay,description_list,employment_skills,date_posted,date_updated,scraped_at
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Melbourne, FL, USA ",https://www.dice.com/job-detail/1f24e8aa-9f35-40bc-a13e-07976d7c0362,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Unit testing,Writing,Linux,Testing,Python,Science,Network,Computer hardware,Software engineering,Configuration Management,Embedded software,Device drivers,Embedded C,Debugging,Embedded systems,Atlassian,C,Modeling,Test scripts,Application development,Regulatory Compliance,Specification,Scripting language,Software development,C++,Git,System testing,IT management,Test plans,Brand,Innovation,Security clearance,Issue resolution,Agile,Design,Recruiting,DoD,Embedded Linux,Documentation,Confluence",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:52:39
 Software Engineer (Systems) ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/f94c7e9e-ceb7-493c-8d47-a30515e60648,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer (Systems) to Research, design, develop, build and test operating systems-level software, compilers, and network distribution software for large distributed components that run applications.  Telecommuting is permitted from anywhere in the United States.  (Ref code(s) REQ-2308-125346: $188413.86 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 10 days ago,Updated Never,2023-12-18 23:52:39
" Senior Software Engineer - C#, .NET "," Charles Schwab & Co., Inc. ","https://www.dice.com/company/10228622?companyname=CharlesSchwab&Co.,Inc.",https://cdn.filestackcontent.com/oSfr7oEWQPmHUmUa224P," Lone Tree, CO, USA ",https://www.dice.com/job-detail/83dc74f3-db38-4e8e-bf8b-c898a56e729a,Full Time,"USD 130,000.00 - 200,000.00 per year","- Bachelor's degree in computer science, engineering, information technology OR related degree and practical experience- Advanced .NET web and REST service development skills, typically built through 7+ years of applicable experience developing in .NET/C#- 7+ years proven real world experience in database principles, such as SQL, Oracle, or MongoDB- Expertise in developing JavaScript/HTML/CSS single page applications using modern JavaScript frameworks, particularly AngularJS. Considerable experience in React, or Vue would translate.- Experience with Test Driven Development, we take full ownership of our code and its quality.- Experience leveraging Continuous Integration/Continuous Deployment and DevOps principles- Deep Experience in RESTful service design and implementation- Experience producing technical design documentation and reviewing with architects- Expertise in event driven architecture and RabbitMQ or Kafka messaging frameworks.- Works in Scrum/Agile environment with ability to successfully resolve issues across multiple development teams.
- Knowledge of cloud computing platform technologies (i.e., AWS, Google Cloud Platform, Azure, PCF).- Excellent grasp of OOP and how it is applied in JavaScript. Experience with using either Typescript or Flow.- Experience developing distributed multi-tier applications and complex platform integrations.
- 401(k) with company match and Employee stock purchase plan- Paid time for vacation, volunteering, and 28-day sabbatical after every 5 years of service for eligible positions- Paid parental leave and family building benefits- Tuition reimbursement- Health, dental, and vision insurance
","Cascading style sheets,React.js,Scrum,Service design,Software deployment,Mentorship,SIP,HTML,FOCUS,IMPACT,RabbitMQ,Messaging,.NET,Google Cloud,Test-driven development,Continuous integration,Information Technology,continuous integration and development,Vue.js,Insurance,Computer science,Amazon Web Services,Creative problem solving,SAP BASIS,Financial planning,Cloud computing,Pivotal,JavaScript,google cloud platform,C#,JavaScript frameworks,Oracle,Finance,TypeScript,Technical drafting,RESTful,Apache Kafka,Agile,Microsoft Azure,Database,MongoDB,AngularJS,Cloud Foundry,SQL,Documentation,DevOps",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:33
 Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Fairfax, VA, USA ",https://www.dice.com/job-detail/8b4467c6-b6fa-4a41-a44c-5b9c25cc6e33,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Microcontrollers,Computer hardware,DoD,Device drivers,Recruiting,System integration,Design,OER,Software development methodology,Mechanical engineering,Bash,Embedded software,JIRA,C++,Network,Linux,Debugging,Logic analyzer,Science,Hardware Support,Firmware,Computer networking,Graphical user interface,Project management,Innovation,Object-Oriented Programming,Microprocessor,VxWorks,Software development,Embedded Linux,RTOS,MATLAB,Scripting,Time management,C,Interfaces,Linux kernel,Operating systems,RF,Cyber security,Embedded systems,Apache Subversion,Python,Labview,Functional design,Brand,Git",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:33
 Software Engineer II , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Bellevue, WA, USA ",https://www.dice.com/job-detail/13b59858-3e86-4877-a6a2-e5992b2760d1,Full Time,,"- Model, design and build secure and reliable cloud systems maximizing speed and scale.- Developing quality, testable applications based on product and regulatory requirements.- Developing, testing and maintain interoperability across system components.- Contribute to a collaborative environment, helping to establish lean but effective software practices.- Deliver high quality and timely results to meet the business needs.- Deliver Design and Code using practices consistent with security and regulatory standards.
- Python- Web Application Development- Restful API's- C++- GPU- SQL- Medical Device- Data Collection
- Knowledgeable in database technologies including SQL/MSSQL, Cosmos DB, Azure storage tables.- Ability to design data models supporting binary data collection for AI applications.- Experience in GPU programming, preferably with designing and implanting shaders.- Proven strong design and programming fundamentals.- Highly self-motivated and directed.- Medical Device or other regulated industry experience is preferred.
- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","GPU,Science,Design,Lean methodology,Storage,Data collection,C++,Testing,Cosmos,Innovation,Data,Recruiting,SQL,Python,Management,Embedded systems,Web development,Software development,Brand,Database,RESTful,C,Cloud computing,Medical devices,Microsoft Azure,Artificial intelligence,Network",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:33
 Software Engineer , Jobot ,https://www.dice.com/company/91113390?companyname=Jobot,https://cdn.filestackcontent.com/FohPnARjSV1RBGVwecLu," Guilderland, NY, USA ",https://www.dice.com/job-detail/825d1226-e133-4d31-ae0f-0f0f3551936c,Contract - W2,"USD 100,000.00 - 120,000.00 per year",,"Collaboration,Database,Manufacturing,MySQL,React.js,Problem solving,Software development,Continuous improvement,Attention to detail,Communication,Management,A+,Computer science,Design,Leadership,Web applications,IMPACT,Software engineering,NoSQL",Posted 11 days ago, - Updated 10 days ago ,2023-12-18 23:51:33
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Sarasota, FL, USA ",https://www.dice.com/job-detail/8f385190-d246-4ba0-9acd-e88169246ab5,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Innovation,Embedded software,Estimating,Brand,Avionics,Embedded systems,Computer hardware,Science,VxWorks,A+,Computer science,RTOS,DO-178B,Proposal writing,Mathematics,Microsoft Windows,Network,Marketing,Design,Security clearance,Demonstrations,C++,Recruiting,Linux",Posted 5 days ago, - Updated 3 hours ago ,2023-12-18 23:51:32
 Software Engineer ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Seattle, WA, USA ",https://www.dice.com/job-detail/e2015bb7-6e6f-43be-adae-dad997a8fcfc,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer to Help build the next generation of systems behind Meta's products, create web and/or mobile applications that reach over two billion people, and build high volume servers to support content.  (Ref code(s) REQ-2308-124876: $163660 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 3 days ago,Updated Never,2023-12-18 23:51:32
 Software Engineer ," Motion Recruitment Partners, LLC ","https://www.dice.com/company/10105282?companyname=MotionRecruitmentPartners,LLC",https://cdn.filestackcontent.com/8X4yxK2sRpaWp78bSlfH," Vienna, VA, USA ",https://www.dice.com/job-detail/0e87e0b7-f66d-4f41-812c-198775f4d332,Full Time,,"- 3+ years of software engineering experience- Strong experience with complex problem solving- Experience with their stack is a plus (C++/Rust/TypeScript)
- BS in Computer Science or equivalent
- Full Medical Benefits (Health, Dental, Vision)- PTO- 401(k) + Match
","Startups,TypeScript,Virtualization,Onshore,Artificial intelligence,Rust,Problem solving,C++,A+,Software testing,Computer science,Testing,Automated testing,Software engineering",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:32
 Senior Software Engineer , Kforce Technology Staffing ,https://www.dice.com/company/kforcecx?companyname=KforceTechnologyStaffing,https://cdn.filestackcontent.com/NQObWchJRguupkpbtJiG," Elkhart, IN, USA ",https://www.dice.com/job-detail/4261ce86-5ac4-412c-af48-9e55317b2001,Contract - W2,$55 - $65 hourly,,"Insurance,Organized,Agile,.NET,Training,Apache Subversion,Data collection,Law,Data acquisition,Reporting,Conceptual design,Microsoft SQL Server,FSA,Leadership,VI,Software development,Documentation,C#,Relational databases,Bitbucket,Automotive,Waterfall,Continuous improvement,Visual Basic .NET,Git,Manufacturing,Specification,Mentorship,Electromechanics,Microsoft Excel,Design documentation,Software deployment,Management,Governance,Testing,Labview,Storage,Software architecture,VMware Infrastructure,Cyber security,Planning,Computer hardware",Posted 3 days ago, - Updated moments ago ,2023-12-18 23:51:32
 Senior Software Engineer , Disney Entertainment &amp; ESPN Technology ,https://www.dice.com/company/RTX1d8578?companyname=DisneyEntertainment&amp;ESPNTechnology,https://cdn.filestackcontent.com/DKgl2bTTA3maTfcl1ugc," Santa Monica, CA, USA ",https://www.dice.com/job-detail/bbcc9bab-4c84-4383-8c55-1165a704b6f9,Full Time,"USD 118,000.00 - 158,200.00 per year","- Building the future of Disney's media: DE&E Technologists are designing and building the infrastructure that will power our media, advertising, and distribution businesses for years to come.- Reach & Scale: The products and platforms this group builds and operates delight millions of consumers every minute of every day - from Disney+ and Hulu, to ABC News and Entertainment, to ESPN and ESPN+, and much more.- Innovation: We develop and implement groundbreaking products and techniques that shape industry norms and enhance how audiences experience sports, entertainment & news.
- Create new data models and extend existing ones to support new business initiatives representing packaging, pricing and promotional aspects of various digital products we sell.- Design solutions interconnecting existing commerce systems from various organizations, allowing for bundling of products from disparate business units.- Create scalable backend services in Scala/JVM that support traceability of incremental data mutations and fast recovery from any undesired data state.- Be involved in code reviews and architecture review for team members- Participate in Agile methodology and SCRUM processes such as Sprint Planning, Backlog grooming, Daily Standups and Retrospectives with the team
- Minimum of 5 years of related work experience in backend services development- Bachelor's degree in Computer Science, Information Systems, Software, Electrical or Electronics Engineering, or comparable field of study, and/or equivalent work experience- Proficient in designing and implementing complex data architectures and systems.- Experience working with cloud technologies (AWS preferred).- Knowledge of Scala/JVM based languages. Functional programming experience is a strong plus.- In-depth experience working on relational and graph databases, mapping complex logical models into persistence layers (PostreSQL, MySQL). Familiarity with Window/Partition functions is a plus.- Previous experience taking ownership of features/functionality and delivering projects end-to-end with high quality and robust architecture.- Excellent communication skills and ability to work with cross functional business partners- Ability to dive deep into any technical component as well as understand and drive the overall systems architecture.
- Previous work with distributed teams.- Ability to quickly ramp up on new domains and technologies.- Experiencing building data pipelines
","Certification and accreditation,Finance,Pricing,A+,Systems architecture,Agile,Modeling,REACH,OER,Advertising,JVM,Electronic engineering,Amazon Web Services,Computer science,Planning,MySQL,Media,Scrum,Data,Scala,Data architecture,Recovery,Distribution,Mapping,Communication,Virtual team,Promotions,Billing,Innovation,Functional programming,Graph databases,Information systems,Design,Commerce,Payments,Electrical engineering,Sprint,Cloud computing,Technical direction,Recruiting,Streaming",Posted 2 days ago,Updated Never,2023-12-18 23:51:32
" Senior Software Engineer, Online - IV ", Blizzard Entertainment ,https://www.dice.com/company/RTL89455?companyname=BlizzardEntertainment,https://cdn.filestackcontent.com/VhQERyY2SFKdEWVsdDh1," Irvine, CA, USA ",https://www.dice.com/job-detail/7a41efc3-79a1-494c-8c38-e2674655b2a1,Full Time,"USD 101,000.00 - 186,754.00 per year","- Collaborate with other engineers to design and implement server architecture- Design and implement server-side components in support of gameplay features- Coordinate with client engineers on gameplay simulation and network efficiency- Design and deliver code that is robust, extensible, flexible and simple to use- Champion Blizzard's core values, especially ""Gameplay First""
- 5+ years of professional engineering experience- C++ as primary language- Expertise in relevant technologies such as SQL, Cassandra, Docker, Kubernetes, etc.- Ability to communicate effectively with designers and client engineers- Self-motivated and willing to participate in all areas of engineering
- Bachelor or Master degree in Computer Science, related field or equivalent experience- Networking experience in TCP, UDP, and higher-level protocols- Previous experience shipping and supporting a Live product at a global scale- Familiar with security considerations (encryption, denial of service)- Familiar with cloud technologies (virtualization, containers)- Developed software in a cloud-hosted environment (AWS, Google Cloud Platform)- Linux development experience
- Medical, dental, vision, health savings account or health reimbursement account, healthcare spending accounts, dependent care spending accounts, life and AD&D insurance, disability insurance;- 401(k) with Company match, tuition reimbursement, charitable donation matching;- Paid holidays and vacation, paid sick time, floating holidays, compassion and bereavement leaves, parental leave;- Mental health & wellbeing programs, fitness programs, free and discounted games, and a variety of other voluntary benefit programs like supplemental life & disability, legal service, ID protection, rental insurance, and others;- If the Company requires that you move geographic locations for the job, then you may also be eligible for relocation assistance.
","Computer networking,Virtualization,SAP BASIS,Server architecture,Legal,Certification and accreditation,Video,IDEA,Finance,google cloud platform,Gaming,Amazon Web Services,Computer science,Epic,Collaboration,Quest,UDP,Apache Cassandra,Docker,Network,Design,Simulation,Management,Google Cloud,Cloud computing,Kubernetes,Shipping,Creativity,C++,Encryption,Research,Recruiting,Health care,Insurance,SQL,Linux,TCP,Software development",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:32
 Software Engineer ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Seattle, WA, USA ",https://www.dice.com/job-detail/b9a77aa1-9725-45f9-b040-45156c05a5d7,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer to Help build the next generation of systems behind Meta's products, create web and/or mobile applications that reach over two billion people, and build high-volume servers to support content.  (Ref code(s) REQ-2309-126454: $167994.83 - $194000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 3 days ago,Updated Never,2023-12-18 23:51:31
 Bilingual Software Engineer , Jobot ,https://www.dice.com/company/91113390?companyname=Jobot,https://cdn.filestackcontent.com/FohPnARjSV1RBGVwecLu," Bennington, NE, USA ",https://www.dice.com/job-detail/6baf65c9-550e-4591-8488-efdeb96c271c,Full Time,"USD 100,000.00 - 110,000.00 per year",,"Computer science,Internationalization and localization,MongoDB,Vue.js,Cloud computing,Energy,Software development,Innovation,Bilingual,JavaScript,Programming languages,Information Technology,Collaboration,Technical Support,Translation,English,Attention to detail,Startups,TypeScript,Communication,Problem solving,Fluency,Design,Spanish,Management,Database,Amazon Web Services,A+",Posted 10 days ago,Updated Never,2023-12-18 23:51:31
 Prin Software Engineer ," ATR International, Inc. ","https://www.dice.com/company/10117022A?companyname=ATRInternational,Inc.",https://cdn.filestackcontent.com/DKgl2bTTA3maTfcl1ugc," Mounds View, MN, USA ",https://www.dice.com/job-detail/e6cfad1b-ab8f-4f0a-983b-5c63ab30e62c,Full Time,,,"Device drivers,Design,Thread,ThreadX,Embedded software,Debugging,XML,Computer networking,Code refactoring,IoT,TCP/IP,Cross-functional team,RTOS,ARM,Multithreading,C,JSON,Agile,Communication,Embedded systems,USB,Real-time,Embedded C",Posted 11 days ago, - Updated 3 hours ago ,2023-12-18 23:51:31
 Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Rolling Meadows, IL, USA ",https://www.dice.com/job-detail/a029df40-fd5b-4faa-90de-22455278b457,Full Time,,"- Responsible for embedded software projects from ideation through validation.- Design, write, debug and release embedded microcontroller software for new products and new product features.- Capture requirements to ensure code meets customer expectations.- Complete feature analysis and system design tradeoffs.- Define test requirements and test processes to ensure product meets customer feature and reliability requirements.- Identify root cause and resolve software issues in new and existing products.- Create and maintain documentation of embedded software requirements and revisions.
- C++- Rtos- Microcontroller- Firmware- Software development- USB- Linux
- Bachelor's degree in Engineering- Communication protocols experience - 80% of developments are USB and SPI, I2C, USB.- Competency and extensive experience in C/C++ microcontroller programming, experience with ARM Cortex a plus.
- Paid Weekly- Medical, Dental, Vision, 401K plans- Abenity Discount Program- Udemy Courses- Work Life Balance- PTO/Paid Holiday's
- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Debugging,Documentation,Microcontrollers,I2C,Embedded C,Innovation,A+,C,Science,RTOS,Embedded software,Network,Recruiting,Brand,Software development,Ideation,Embedded systems,Linux,ARM,Design,ROOT,Communication,Systems design,SPI,USB,C++,Firmware",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:31
 Software Engineer ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Menlo Park, CA, USA ",https://www.dice.com/job-detail/3e6e6734-a63a-4636-b7a8-8371385b4360,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer to Help build the next generation of systems behind Facebook's products, create web and/or mobile applications that reach over two billion people, and build high-volume servers to support content.  (Ref code(s) REQ-2309-127400: $209720 - $235000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 3 days ago,Updated Never,2023-12-18 23:51:31
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Clarksburg, MD, USA ",https://www.dice.com/job-detail/823bbff5-a4be-4681-b49d-0a302451dab4,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Linux,RTOS,Science,Network,Microcontrollers,Embedded C,Embedded software,Sonar,Debugging,Embedded systems,Avionics,C++,VxWorks,Communication,Brand,Microsoft Windows,Innovation,Security clearance,Simulation,Agile,Recruiting,Radio,SRD,SATCOM,Embedded Linux",Posted 2 days ago, - Updated 3 hours ago ,2023-12-18 23:51:31
 Software Engineer ," Motion Recruitment Partners, LLC ","https://www.dice.com/company/10105282?companyname=MotionRecruitmentPartners,LLC",https://cdn.filestackcontent.com/8X4yxK2sRpaWp78bSlfH," Washington, DC, USA ",https://www.dice.com/job-detail/b70a1a46-cbc6-41c6-a12a-3bd0c25d9090,Full Time,,"- 2+ years of professional experience- Strong JavaScript/TypeScript experience- Strong experience with React and Node.js- Experience with cloud providers is a plus
- BS or MS in Computer Science
- Full Medical Benefits (Health, Dental, Vision)- PTO- 401(k) + Match- Hybrid remote
","PostgreSQL,React.js,Design,JavaScript,FOCUS,Node.js,Cloud computing,Amazon Web Services,A+,TypeScript,Product development,Health care,Computer science",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:31
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Clarksburg, MD, USA ",https://www.dice.com/job-detail/9eed2bc5-e87e-480f-8e21-dac60c343f75,Full Time,,"- They currently has a cleared Army project for their Tactical Radio product lines including brand new radio designs as well as upgrades to existing designs that they need C++development on Embedded Linux and Windows platforms.
- Minimum BSCS, BSCE or BSEE.- 4+ years experience with C++ Development on a VxWorks, Embedded Linux or RTOS platform- Strong foundation in embedded concepts including debugging, cross-compilation, and build systems.- Possesses knowledge of practical and theoretical embedded software design as it applies to communication products a plus- Proven experience working on embedded systems in a VxWorks or Embedded Linux environment.- Familiarity or experience with tactical software defined radio (SRD) is preferred.- Active Security Clearance
- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Debugging,Microcontrollers,Embedded C,Innovation,Radio,A+,Science,RTOS,Simulation,Embedded software,Network,Recruiting,Brand,SATCOM,Microsoft Windows,Embedded Linux,SRD,Agile,Embedded systems,Linux,Security clearance,Avionics,Communication,C++,VxWorks,Sonar",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:30
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Clarksburg, MD, USA ",https://www.dice.com/job-detail/5a667bf4-da1a-4134-9898-f6d508c9d362,Full Time,,"- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Innovation,Embedded software,Radio,Brand,Communication,Avionics,Embedded systems,Science,VxWorks,A+,RTOS,Agile,Embedded C,Sonar,Microsoft Windows,Network,Simulation,SRD,C++,Recruiting,Embedded Linux,Debugging,Linux,Microcontrollers,SATCOM",Posted 3 days ago, - Updated 3 hours ago ,2023-12-18 23:51:30
 Embedded Software Engineer , Actalent Engineering ,https://www.dice.com/company/91126956?companyname=ActalentEngineering,https://cdn.filestackcontent.com/QFaWgXgT1a8bl8Z4SsA8," Clarksburg, MD, USA ",https://www.dice.com/job-detail/1788574b-2fe3-4cdb-82cb-75cfe451fcdc,Full Time,,"- Minimum BSCS, BSCE or BSEE.- 4+ years experience with C++ Development on a VxWorks, Embedded Linux or RTOS platform- Strong foundation in embedded concepts including debugging, cross-compilation, and build systems.- Possesses knowledge of practical and theoretical embedded software design as it applies to communication products a plus- Proven experience working on embedded systems in a VxWorks or Embedded Linux environment.- Familiarity or experience with tactical software defined radio (SRD) is preferred.- Active Security Clearance
- Hiring diverse talent- Maintaining an inclusive environment through persistent self-reflection- Building a culture of care, engagement, and recognition with clear outcomes- Ensuring growth opportunities for our people
","Science,Linux,Microsoft Windows,RTOS,Simulation,A+,VxWorks,C++,SRD,Embedded C,Innovation,SATCOM,Recruiting,Debugging,Embedded systems,Microcontrollers,Embedded Linux,Brand,Sonar,Agile,Avionics,Security clearance,Embedded software,Radio,Communication,Network",Posted 2 days ago, - Updated 3 hours ago ,2023-12-18 23:51:30
 Software Engineer (Systems) ," Meta Platforms, Inc. (f/k/a Facebook, Inc.) ","https://www.dice.com/company/RTX17a7ad?companyname=MetaPlatforms,Inc.(f/k/aFacebook,Inc.)",https://cdn.filestackcontent.com/ePvcjdeiSC6gLADrPqHk," Sunnyvale, CA, USA ",https://www.dice.com/job-detail/b333ff6f-5288-4499-8953-bed7495f3ede,Full Time,Depends on Experience,"Meta Platforms, Inc. (f/k/a Facebook, Inc.) is hiring Software Engineer (Systems) to Research, design, develop, build and test operating systems-level software, compilers, and network distribution software for large distributed components that run applications.  (Ref code(s) REQ-2308-124637: $234062 - $235000).

Individual pay is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base salary only, and do not include bonus or equity or sales incentives, if applicable. In addition to base salary, Meta offers benefits. Learn more about benefits at Meta at this link: https://www.metacareers.com/facebook-life/benefits

For full information & to apply online, visit us at the following website https://www.metacareers.com/jobs & search using the ref code(s) above. Alternatively, click the Apply Now button above to be routed to our careers site & search using the ref code(s) above.

",.,Posted 3 days ago,Updated Never,2023-12-18 23:51:30
